RNAseq	miRNAseq	validated_c	predicted_c	normalized_counts_RNA_vs_miRNA_normalized_counts_correlation	Eigengene_RNA_vs_miRNA_Eigengene_correlation	Eigengene_RNA_vs_miRNA_hub_1_correlation	Eigengene_RNA_vs_miRNA_normalized_counts_correlation	hub_1_RNA_vs_miRNA_normalized_counts_correlation	hub_1_RNA_vs_miRNA_Eigengene_correlation	hub_1_RNA_vs_miRNA_hub_1_correlation	Target_SYMBOL	miRNA_name
ENSMUSG00000000562	MIMAT0000165	1	0	0.82	0.42	0.4	0.79	0.86	0.53	0.54	Adora3	mmu-miR-155-5p
ENSMUSG00000000600	MIMAT0000154	1	5	-0.49	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Krit1	mmu-miR-142a-5p
ENSMUSG00000000600	MIMAT0000158	0	0	-0.55	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Krit1	mmu-miR-146a-5p
ENSMUSG00000000600	MIMAT0000165	1	0	-0.76	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Krit1	mmu-miR-155-5p
ENSMUSG00000000628	MIMAT0000154	0	0	0.66	0.36	0.21	0.64	0.6	0.43	0.24	Hk2	mmu-miR-142a-5p
ENSMUSG00000000628	MIMAT0000158	0	4	0.69	0.34	0.28	0.7	0.67	0.29	0.24	Hk2	mmu-miR-146a-5p
ENSMUSG00000000628	MIMAT0000165	1	0	0.73	0.34	0.28	0.75	0.67	0.29	0.24	Hk2	mmu-miR-155-5p
ENSMUSG00000000631	MIMAT0000154	0	0	0.15	-0.11	-0.14	0.52	0.57	-0.05	-0.06	Myo18a	mmu-miR-142a-5p
ENSMUSG00000000631	MIMAT0000158	0	0	0.49	0.51	0.54	0.7	0.7	0.52	0.53	Myo18a	mmu-miR-146a-5p
ENSMUSG00000000631	MIMAT0000165	0	0	0.71	0.51	0.54	0.89	0.94	0.52	0.53	Myo18a	mmu-miR-155-5p
ENSMUSG00000000682	MIMAT0000154	0	0	0.82	0.3	0.34	0.82	0.81	0.29	0.35	Cd52	mmu-miR-142a-5p
ENSMUSG00000000682	MIMAT0000158	0	0	0.82	0.72	0.67	0.92	0.93	0.73	0.68	Cd52	mmu-miR-146a-5p
ENSMUSG00000000682	MIMAT0000165	1	0	0.93	0.72	0.67	0.97	0.98	0.73	0.68	Cd52	mmu-miR-155-5p
ENSMUSG00000000693	MIMAT0000154	0	4	0.77	0.48	0.49	0.88	0.91	0.41	0.46	Loxl3	mmu-miR-142a-5p
ENSMUSG00000000693	MIMAT0000158	0	0	0.65	0.42	0.4	0.81	0.86	0.53	0.54	Loxl3	mmu-miR-146a-5p
ENSMUSG00000000693	MIMAT0000165	0	0	0.65	0.42	0.4	0.79	0.86	0.53	0.54	Loxl3	mmu-miR-155-5p
ENSMUSG00000000732	MIMAT0000154	0	3	0.73	0.3	0.34	0.82	0.81	0.29	0.35	Icosl	mmu-miR-142a-5p
ENSMUSG00000000732	MIMAT0000158	0	0	0.87	0.72	0.67	0.92	0.93	0.73	0.68	Icosl	mmu-miR-146a-5p
ENSMUSG00000000732	MIMAT0000165	1	6	0.92	0.72	0.67	0.97	0.98	0.73	0.68	Icosl	mmu-miR-155-5p
ENSMUSG00000000776	MIMAT0000154	0	3	0.55	-0.09	0.11	0.53	0.51	-0.12	0.09	Polr3d	mmu-miR-142a-5p
ENSMUSG00000000776	MIMAT0000158	0	3	0.76	0.62	0.67	0.73	0.69	0.58	0.57	Polr3d	mmu-miR-146a-5p
ENSMUSG00000000776	MIMAT0000165	1	0	0.85	0.62	0.67	0.78	0.77	0.58	0.57	Polr3d	mmu-miR-155-5p
ENSMUSG00000000787	MIMAT0000154	0	2	-0.53	-0.09	-0.09	-0.62	-0.55	-0.03	-0.06	Ddx3x	mmu-miR-142a-5p
ENSMUSG00000000787	MIMAT0000158	0	5	-0.79	-0.64	-0.63	-0.84	-0.81	-0.61	-0.63	Ddx3x	mmu-miR-146a-5p
ENSMUSG00000000787	MIMAT0000165	0	0	-0.88	-0.64	-0.63	-0.94	-0.93	-0.61	-0.63	Ddx3x	mmu-miR-155-5p
ENSMUSG00000000889	MIMAT0000154	0	0	-0.41	0.12	-0.04	-0.37	-0.38	0.08	-0.09	Dbh	mmu-miR-142a-5p
ENSMUSG00000000889	MIMAT0000158	0	0	-0.49	-0.29	-0.35	-0.49	-0.51	-0.33	-0.38	Dbh	mmu-miR-146a-5p
ENSMUSG00000000889	MIMAT0000165	0	0	-0.55	-0.29	-0.35	-0.52	-0.52	-0.33	-0.38	Dbh	mmu-miR-155-5p
ENSMUSG00000000902	MIMAT0000154	0	0	0.38	-0.04	0.06	0.57	0.56	-0.08	0.05	Smarcb1	mmu-miR-142a-5p
ENSMUSG00000000902	MIMAT0000158	0	0	0.48	0.66	0.66	0.81	0.79	0.66	0.71	Smarcb1	mmu-miR-146a-5p
ENSMUSG00000000902	MIMAT0000165	0	0	0.65	0.66	0.66	0.95	0.91	0.66	0.71	Smarcb1	mmu-miR-155-5p
ENSMUSG00000000958	MIMAT0000154	0	0	0.73	0.48	0.49	0.88	0.91	0.41	0.46	Slc7a7	mmu-miR-142a-5p
ENSMUSG00000000958	MIMAT0000158	0	0	0.8	0.42	0.4	0.81	0.86	0.53	0.54	Slc7a7	mmu-miR-146a-5p
ENSMUSG00000000958	MIMAT0000165	0	0	0.68	0.42	0.4	0.79	0.86	0.53	0.54	Slc7a7	mmu-miR-155-5p
ENSMUSG00000000959	MIMAT0000154	0	0	-0.27	0.12	-0.04	-0.37	-0.38	0.08	-0.09	Oxa1l	mmu-miR-142a-5p
ENSMUSG00000000959	MIMAT0000158	0	0	-0.41	-0.29	-0.35	-0.49	-0.51	-0.33	-0.38	Oxa1l	mmu-miR-146a-5p
ENSMUSG00000000959	MIMAT0000165	1	1	-0.42	-0.29	-0.35	-0.52	-0.52	-0.33	-0.38	Oxa1l	mmu-miR-155-5p
ENSMUSG00000001025	MIMAT0000154	0	0	0.78	0.3	0.34	0.82	0.81	0.29	0.35	S100a6	mmu-miR-142a-5p
ENSMUSG00000001025	MIMAT0000158	0	0	0.89	0.72	0.67	0.92	0.93	0.73	0.68	S100a6	mmu-miR-146a-5p
ENSMUSG00000001025	MIMAT0000165	1	0	0.94	0.72	0.67	0.97	0.98	0.73	0.68	S100a6	mmu-miR-155-5p
ENSMUSG00000001065	MIMAT0000154	0	0	0.67	0.3	0.34	0.82	0.81	0.29	0.35	Zfp276	mmu-miR-142a-5p
ENSMUSG00000001065	MIMAT0000158	0	0	0.85	0.72	0.67	0.92	0.93	0.73	0.68	Zfp276	mmu-miR-146a-5p
ENSMUSG00000001065	MIMAT0000165	1	0	0.78	0.72	0.67	0.97	0.98	0.73	0.68	Zfp276	mmu-miR-155-5p
ENSMUSG00000001082	MIMAT0000154	0	0	0.42	0.04	0.26	0.6	0.55	-0.02	0.17	Mfsd10	mmu-miR-142a-5p
ENSMUSG00000001082	MIMAT0000158	0	0	0.6	0.7	0.69	0.7	0.66	0.75	0.71	Mfsd10	mmu-miR-146a-5p
ENSMUSG00000001082	MIMAT0000165	0	0	0.52	0.7	0.69	0.68	0.69	0.75	0.71	Mfsd10	mmu-miR-155-5p
ENSMUSG00000001098	MIMAT0000154	0	0	0.78	0.39	0.44	0.89	0.85	0.41	0.42	Kctd10	mmu-miR-142a-5p
ENSMUSG00000001098	MIMAT0000158	0	2	0.64	0.72	0.71	0.84	0.84	0.76	0.7	Kctd10	mmu-miR-146a-5p
ENSMUSG00000001098	MIMAT0000165	0	0	0.8	0.72	0.71	0.9	0.88	0.76	0.7	Kctd10	mmu-miR-155-5p
ENSMUSG00000001123	MIMAT0000154	0	0	0.7	0.3	0.34	0.82	0.81	0.29	0.35	Lgals9	mmu-miR-142a-5p
ENSMUSG00000001123	MIMAT0000158	0	0	0.77	0.72	0.67	0.92	0.93	0.73	0.68	Lgals9	mmu-miR-146a-5p
ENSMUSG00000001123	MIMAT0000165	1	0	0.9	0.72	0.67	0.97	0.98	0.73	0.68	Lgals9	mmu-miR-155-5p
ENSMUSG00000001127	MIMAT0000154	0	0	-0.45	-0.09	-0.09	-0.62	-0.55	-0.03	-0.06	Araf	mmu-miR-142a-5p
ENSMUSG00000001127	MIMAT0000158	0	0	-0.7	-0.64	-0.63	-0.84	-0.81	-0.61	-0.63	Araf	mmu-miR-146a-5p
ENSMUSG00000001127	MIMAT0000165	0	0	-0.87	-0.64	-0.63	-0.94	-0.93	-0.61	-0.63	Araf	mmu-miR-155-5p
ENSMUSG00000001131	MIMAT0000154	0	0	0.78	-0.04	0.06	0.57	0.56	-0.08	0.05	Timp1	mmu-miR-142a-5p
ENSMUSG00000001131	MIMAT0000158	0	0	0.95	0.66	0.66	0.81	0.79	0.66	0.71	Timp1	mmu-miR-146a-5p
ENSMUSG00000001131	MIMAT0000165	1	0	0.95	0.66	0.66	0.95	0.91	0.66	0.71	Timp1	mmu-miR-155-5p
ENSMUSG00000001157	MIMAT0000154	0	5	-0.47	-0.18	-0.35	-0.57	-0.58	-0.15	-0.32	Gmcl1	mmu-miR-142a-5p
ENSMUSG00000001157	MIMAT0000158	0	0	-0.56	-0.88	-0.84	-0.74	-0.7	-0.83	-0.82	Gmcl1	mmu-miR-146a-5p
ENSMUSG00000001157	MIMAT0000165	1	1	-0.73	-0.88	-0.84	-0.75	-0.72	-0.83	-0.82	Gmcl1	mmu-miR-155-5p
ENSMUSG00000001158	MIMAT0000154	0	2	0.77	0.32	0.57	0.78	0.75	0.41	0.64	Snrnp27	mmu-miR-142a-5p
ENSMUSG00000001158	MIMAT0000158	0	0	0.68	0.53	0.63	0.6	0.6	0.48	0.49	Snrnp27	mmu-miR-146a-5p
ENSMUSG00000001158	MIMAT0000165	1	0	0.72	0.53	0.63	0.66	0.6	0.48	0.49	Snrnp27	mmu-miR-155-5p
ENSMUSG00000001227	MIMAT0000154	0	0	0.32	0.34	0.47	0.6	0.59	0.35	0.42	Sema6b	mmu-miR-142a-5p
ENSMUSG00000001227	MIMAT0000158	0	0	0.41	0.86	0.74	0.75	0.81	0.85	0.66	Sema6b	mmu-miR-146a-5p
ENSMUSG00000001227	MIMAT0000165	0	0	0.32	0.86	0.74	0.65	0.71	0.85	0.66	Sema6b	mmu-miR-155-5p
ENSMUSG00000001313	MIMAT0000154	0	0	0.29	-0.04	0.06	0.57	0.56	-0.08	0.05	Rnd2	mmu-miR-142a-5p
ENSMUSG00000001313	MIMAT0000158	0	0	0.42	0.66	0.66	0.81	0.79	0.66	0.71	Rnd2	mmu-miR-146a-5p
ENSMUSG00000001313	MIMAT0000165	1	0	0.61	0.66	0.66	0.95	0.91	0.66	0.71	Rnd2	mmu-miR-155-5p
ENSMUSG00000001348	MIMAT0000154	0	0	0.92	0.3	0.34	0.82	0.81	0.29	0.35	Acp5	mmu-miR-142a-5p
ENSMUSG00000001348	MIMAT0000158	0	0	0.89	0.72	0.67	0.92	0.93	0.73	0.68	Acp5	mmu-miR-146a-5p
ENSMUSG00000001348	MIMAT0000165	1	0	0.83	0.72	0.67	0.97	0.98	0.73	0.68	Acp5	mmu-miR-155-5p
ENSMUSG00000001416	MIMAT0000154	0	0	-0.22	0.12	-0.04	-0.37	-0.38	0.08	-0.09	Cct3	mmu-miR-142a-5p
ENSMUSG00000001416	MIMAT0000158	0	0	-0.32	-0.29	-0.35	-0.49	-0.51	-0.33	-0.38	Cct3	mmu-miR-146a-5p
ENSMUSG00000001416	MIMAT0000165	0	0	-0.36	-0.29	-0.35	-0.52	-0.52	-0.33	-0.38	Cct3	mmu-miR-155-5p
ENSMUSG00000001419	MIMAT0000154	0	0	0.66	0.3	0.34	0.82	0.81	0.29	0.35	Mef2d	mmu-miR-142a-5p
ENSMUSG00000001419	MIMAT0000158	0	0	0.91	0.72	0.67	0.92	0.93	0.73	0.68	Mef2d	mmu-miR-146a-5p
ENSMUSG00000001419	MIMAT0000165	0	0	0.85	0.72	0.67	0.97	0.98	0.73	0.68	Mef2d	mmu-miR-155-5p
ENSMUSG00000001506	MIMAT0000154	0	0	-0.14	-0.21	-0.2	-0.33	-0.1	-0.03	0	Col1a1	mmu-miR-142a-5p
ENSMUSG00000001506	MIMAT0000158	0	0	-0.5	-0.36	-0.35	-0.71	-0.49	-0.15	-0.18	Col1a1	mmu-miR-146a-5p
ENSMUSG00000001506	MIMAT0000165	1	0	-0.4	-0.36	-0.35	-0.54	-0.37	-0.15	-0.18	Col1a1	mmu-miR-155-5p
ENSMUSG00000001518	MIMAT0000154	0	0	0.58	0.48	0.49	0.88	0.91	0.41	0.46	Itfg2	mmu-miR-142a-5p
ENSMUSG00000001518	MIMAT0000158	0	3	0.23	0.42	0.4	0.81	0.86	0.53	0.54	Itfg2	mmu-miR-146a-5p
ENSMUSG00000001518	MIMAT0000165	1	0	0.35	0.42	0.4	0.79	0.86	0.53	0.54	Itfg2	mmu-miR-155-5p
ENSMUSG00000001632	MIMAT0000154	0	0	0.64	-0.04	0.06	0.57	0.56	-0.08	0.05	Brpf1	mmu-miR-142a-5p
ENSMUSG00000001632	MIMAT0000158	0	0	0.84	0.66	0.66	0.81	0.79	0.66	0.71	Brpf1	mmu-miR-146a-5p
ENSMUSG00000001632	MIMAT0000165	0	0	0.81	0.66	0.66	0.95	0.91	0.66	0.71	Brpf1	mmu-miR-155-5p
ENSMUSG00000001642	MIMAT0000154	0	0	0.52	-0.19	0.06	0.46	0.34	-0.33	-0.1	Akr1b3	mmu-miR-142a-5p
ENSMUSG00000001642	MIMAT0000158	0	0	0.64	0.66	0.75	0.6	0.53	0.57	0.71	Akr1b3	mmu-miR-146a-5p
ENSMUSG00000001642	MIMAT0000165	1	0	0.64	0.66	0.75	0.76	0.69	0.57	0.71	Akr1b3	mmu-miR-155-5p
ENSMUSG00000001729	MIMAT0000154	0	0	0.53	-0.04	0.06	0.57	0.56	-0.08	0.05	Akt1	mmu-miR-142a-5p
ENSMUSG00000001729	MIMAT0000158	0	0	0.77	0.66	0.66	0.81	0.79	0.66	0.71	Akt1	mmu-miR-146a-5p
ENSMUSG00000001729	MIMAT0000165	1	0	0.92	0.66	0.66	0.95	0.91	0.66	0.71	Akt1	mmu-miR-155-5p
ENSMUSG00000001750	MIMAT0000154	0	0	0.78	0.3	0.34	0.82	0.81	0.29	0.35	Tcirg1	mmu-miR-142a-5p
ENSMUSG00000001750	MIMAT0000158	0	0	0.79	0.72	0.67	0.92	0.93	0.73	0.68	Tcirg1	mmu-miR-146a-5p
ENSMUSG00000001750	MIMAT0000165	0	0	0.91	0.72	0.67	0.97	0.98	0.73	0.68	Tcirg1	mmu-miR-155-5p
ENSMUSG00000001751	MIMAT0000154	0	0	0.48	-0.16	-0.04	0.59	0.63	-0.09	-0.03	Naglu	mmu-miR-142a-5p
ENSMUSG00000001751	MIMAT0000158	0	0	0.56	0.53	0.65	0.7	0.69	0.55	0.66	Naglu	mmu-miR-146a-5p
ENSMUSG00000001751	MIMAT0000165	1	0	0.68	0.53	0.65	0.87	0.87	0.55	0.66	Naglu	mmu-miR-155-5p
ENSMUSG00000001768	MIMAT0000154	0	0	0.61	0.36	0.21	0.64	0.6	0.43	0.24	BC039771	mmu-miR-142a-5p
ENSMUSG00000001768	MIMAT0000158	0	0	0.64	0.34	0.28	0.7	0.67	0.29	0.24	BC039771	mmu-miR-146a-5p
ENSMUSG00000001768	MIMAT0000165	1	0	0.79	0.34	0.28	0.75	0.67	0.29	0.24	BC039771	mmu-miR-155-5p
ENSMUSG00000001774	MIMAT0000154	0	0	0.13	0.39	0.11	0.11	0.1	0.3	0.04	Chordc1	mmu-miR-142a-5p
ENSMUSG00000001774	MIMAT0000158	0	0	0.16	-0.24	-0.42	0.1	0.18	-0.18	-0.38	Chordc1	mmu-miR-146a-5p
ENSMUSG00000001774	MIMAT0000165	0	0	0.17	-0.24	-0.42	0.09	0.22	-0.18	-0.38	Chordc1	mmu-miR-155-5p
ENSMUSG00000001802	MIMAT0000154	0	0	0.39	0.3	0.34	0.82	0.81	0.29	0.35	Lrp3	mmu-miR-142a-5p
ENSMUSG00000001802	MIMAT0000158	0	0	0.55	0.72	0.67	0.92	0.93	0.73	0.68	Lrp3	mmu-miR-146a-5p
ENSMUSG00000001802	MIMAT0000165	1	2	0.68	0.72	0.67	0.97	0.98	0.73	0.68	Lrp3	mmu-miR-155-5p
ENSMUSG00000001847	MIMAT0000154	0	0	0.54	-0.04	0.06	0.57	0.56	-0.08	0.05	Rac1	mmu-miR-142a-5p
ENSMUSG00000001847	MIMAT0000158	0	0	0.73	0.66	0.66	0.81	0.79	0.66	0.71	Rac1	mmu-miR-146a-5p
ENSMUSG00000001847	MIMAT0000165	1	0	0.83	0.66	0.66	0.95	0.91	0.66	0.71	Rac1	mmu-miR-155-5p
ENSMUSG00000001910	MIMAT0000154	0	0	0.29	-0.04	0.06	0.57	0.56	-0.08	0.05	Nacc1	mmu-miR-142a-5p
ENSMUSG00000001910	MIMAT0000158	0	0	0.59	0.66	0.66	0.81	0.79	0.66	0.71	Nacc1	mmu-miR-146a-5p
ENSMUSG00000001910	MIMAT0000165	1	1	0.73	0.66	0.66	0.95	0.91	0.66	0.71	Nacc1	mmu-miR-155-5p
ENSMUSG00000001924	MIMAT0000154	0	0	-0.61	0.12	-0.04	-0.37	-0.38	0.08	-0.09	Uba1	mmu-miR-142a-5p
ENSMUSG00000001924	MIMAT0000158	0	4	-0.58	-0.29	-0.35	-0.49	-0.51	-0.33	-0.38	Uba1	mmu-miR-146a-5p
ENSMUSG00000001924	MIMAT0000165	0	0	-0.6	-0.29	-0.35	-0.52	-0.52	-0.33	-0.38	Uba1	mmu-miR-155-5p
ENSMUSG00000001986	MIMAT0000154	0	0	-0.68	-0.09	-0.09	-0.62	-0.55	-0.03	-0.06	Gria3	mmu-miR-142a-5p
